Date,Open,High,Low,Close,Volume
7-Aug-08,106.91,108.60,106.50,108.29,2253830
6-Aug-08,107.90,107.98,106.16,107.39,2564809
5-Aug-08,105.49,108.13,105.06,108.10,2648629
4-Aug-08,104.00,105.75,103.73,104.60,1271126
1-Aug-08,104.50,105.15,102.86,103.97,1688185
31-Jul-08,103.68,105.75,103.40,104.33,1976268
30-Jul-08,104.39,106.38,103.39,104.13,2264296
29-Jul-08,102.78,104.50,102.78,103.92,1929232
28-Jul-08,104.60,105.49,103.05,103.35,2653260
25-Jul-08,105.54,105.80,104.50,104.62,1685372
24-Jul-08,106.89,106.89,104.44,104.75,2716494
23-Jul-08,103.90,107.43,103.42,106.84,2863446
22-Jul-08,100.83,104.93,100.83,103.88,4131456
21-Jul-08,100.82,102.34,100.40,101.59,2621596
18-Jul-08,100.24,101.39,99.74,100.99,2327398
17-Jul-08,100.81,101.48,98.01,100.26,3685806
16-Jul-08,101.25,102.05,98.73,100.74,4298241
15-Jul-08,101.38,102.74,100.78,101.65,3040712
14-Jul-08,103.51,103.51,100.62,101.99,2145392
11-Jul-08,102.54,103.73,101.50,102.68,2932839
10-Jul-08,102.31,103.64,101.77,103.51,2665748
9-Jul-08,104.13,104.13,102.31,102.31,2873842
8-Jul-08,102.72,104.27,102.26,103.81,3712860
7-Jul-08,101.71,103.66,101.37,102.62,3525010
3-Jul-08,100.94,101.88,100.76,101.48,1659363
2-Jul-08,101.55,102.28,100.07,100.30,1956017
1-Jul-08,99.02,101.49,98.91,101.09,2881101
30-Jun-08,99.65,99.75,97.80,98.66,3720472
27-Jun-08,99.80,100.77,99.37,99.62,3265578
26-Jun-08,103.24,103.61,99.50,99.50,2699710
25-Jun-08,104.12,105.00,103.70,103.83,2661728
24-Jun-08,103.55,104.84,103.55,103.94,1844489
23-Jun-08,102.70,104.34,102.04,104.13,2122355
20-Jun-08,102.98,103.34,101.24,102.07,2148345
19-Jun-08,101.44,103.91,100.75,103.34,1829209
18-Jun-08,101.15,102.44,100.72,100.96,1456904
17-Jun-08,102.55,103.40,101.39,101.59,1437584
16-Jun-08,102.40,103.79,102.31,102.55,1949079
13-Jun-08,103.50,104.12,102.76,104.07,1961938
12-Jun-08,102.99,105.37,102.69,102.79,1962982
11-Jun-08,102.56,103.97,102.47,102.69,1794454
10-Jun-08,102.12,104.05,101.67,102.98,1920945
9-Jun-08,104.38,104.38,101.75,102.65,2801822
6-Jun-08,106.98,106.98,103.70,103.75,3129878
5-Jun-08,108.46,108.49,106.53,107.67,2504988
4-Jun-08,107.32,109.09,107.32,108.49,1696012
3-Jun-08,109.75,109.75,107.29,107.83,2360301
2-Jun-08,109.23,109.87,108.09,109.16,1755138
30-May-08,108.72,109.88,108.42,109.44,1804032
29-May-08,107.70,108.91,106.32,108.61,1921660
28-May-08,107.29,108.21,106.94,107.69,1639367
27-May-08,107.27,108.43,106.79,107.35,998776
23-May-08,107.25,108.67,106.95,107.42,1331026
22-May-08,106.89,107.70,106.60,107.09,1173250
21-May-08,109.08,109.99,106.82,106.95,1496553
20-May-08,109.63,109.97,108.33,109.09,1489640
19-May-08,108.98,110.60,108.50,109.94,1726196
16-May-08,109.51,109.65,108.09,109.16,1778819
15-May-08,108.98,109.23,108.08,109.06,1421244
14-May-08,108.70,110.00,108.50,108.71,1853845
13-May-08,107.23,108.66,107.23,108.50,1742152
12-May-08,105.84,107.05,105.53,106.97,1100932
9-May-08,105.50,106.28,104.94,105.84,950304
8-May-08,106.11,106.55,105.31,105.84,1300476
7-May-08,106.38,107.18,105.01,105.92,2051665
6-May-08,106.23,106.95,105.70,106.53,1333973
5-May-08,106.46,107.89,106.07,106.62,1691382
2-May-08,108.45,108.45,105.78,106.93,1729170
1-May-08,105.76,107.83,105.76,107.72,1428269
30-Apr-08,106.15,107.29,105.59,106.04,1572331
29-Apr-08,106.31,107.08,105.55,105.89,1510019
28-Apr-08,107.01,108.31,106.41,106.65,1562476
25-Apr-08,106.89,107.98,106.19,107.63,1203147
24-Apr-08,107.17,107.53,105.87,106.60,1681153
23-Apr-08,103.99,108.00,103.79,107.88,2638086
22-Apr-08,103.88,105.25,103.18,103.79,2116257
21-Apr-08,106.16,106.60,104.81,106.57,1482585
18-Apr-08,105.69,106.46,105.09,106.24,1714796
17-Apr-08,104.14,105.15,104.00,104.36,1303603
16-Apr-08,103.12,104.65,103.00,104.65,2064854
15-Apr-08,104.18,104.18,101.91,103.11,1955997
14-Apr-08,102.77,104.08,102.77,103.32,1305377
11-Apr-08,102.45,103.70,101.88,103.01,1492113
10-Apr-08,103.32,103.32,102.35,102.81,1257923
9-Apr-08,103.40,104.21,102.56,103.11,1530968
8-Apr-08,102.25,104.14,102.25,103.49,2658367
7-Apr-08,101.58,102.83,101.07,102.25,2555205
4-Apr-08,99.54,101.34,99.00,100.81,2384782
3-Apr-08,99.81,100.12,98.50,99.03,3389418
2-Apr-08,101.22,102.00,100.03,100.21,2501448
1-Apr-08,99.96,101.51,99.28,101.33,2039937
31-Mar-08,100.34,100.61,98.44,99.30,2439310
28-Mar-08,100.38,100.89,99.76,100.18,1552195
27-Mar-08,101.60,101.60,99.90,100.04,1336534
26-Mar-08,101.67,101.67,100.56,101.23,1361213
25-Mar-08,101.27,102.29,100.00,102.00,1363786
24-Mar-08,100.26,101.31,99.77,100.78,1710823
20-Mar-08,100.85,101.85,98.45,100.05,3448803
19-Mar-08,101.84,103.25,100.71,100.71,2353194
18-Mar-08,101.75,101.75,99.91,101.55,3537992
17-Mar-08,98.35,101.11,98.35,100.05,3285283
14-Mar-08,101.98,102.68,99.01,100.54,2891686
13-Mar-08,99.55,101.40,98.50,101.11,2132630
